source_id,ra,ra_error,dec,dec_error,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,radial_velocity,radial_velocity_error,phot_g_mean_mag,l,b,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,distance,pm_l_poleski,pm_b_poleski,galactic distance,circular velocity,LSR velocity,mu_l_sol,mu_b_sol,mu_l_rot,mu_b_rot,Peculiar Velocity,peculiar_mu_l,peculiar_mu_b,dist_err,SpType,Mod_SpType,SpColor,Name,Mx,Mx_err,Mo,Mo_err
3441207615229815040,84.72739245821431,0.020250700414180756,26.31577524440175,0.015788812190294266,-0.5898287895613142,0.030902111902832985,-2.879557993302878,0.01621093973517418,0.5245380785708109,0.023250581696629524,7.0,nan,8.601999282836914,181.44504956690048,-2.643537066457817,8.987546920776367,8.01044750213623,0.9770994186401367,1.9064392860183996,2.12603198111763,-2.0297143279424583,10.403915664294958,225.02622744453242,-4.5772627558119305,1.4743856024086786,-0.7832807603717467,-0.0025775251985549665,0.005181971135181485,12.762149422593925,0.6542239039075064,-1.2516155387058931,0.08450448914978252,O9.7IIIe,xkcd:bright blue,xkcd:blue,1A 0535+262,,,20.0,
5336957010898124160,170.23817252151974,0.008774157613515854,-61.91670671055608,0.009544741362333298,-5.421032061547652,0.012438164092600346,1.3700031073878873,0.011767985299229622,0.32925822598102933,0.011463727802038193,nan,nan,11.589363098144531,292.49852714674694,-0.8918067117070271,12.270934104919434,10.759902000427246,1.5110321044921875,3.03712989104672,-5.567951674993604,-0.5122609408455543,7.8560253894545635,222.56671751604506,-220.47262223549708,-1.054611102383597,-0.5187441308440925,-5.428597657240247,-0.018013469887746873,13.18075554666247,0.9152570846302401,0.024496659886285126,0.10574323622942539,O9.5Ve,xkcd:dark blue,xkcd:blue,1A 1118-61,,,,
5334851450481641088,176.86894042633617,0.007541968487203121,-61.953719225831875,0.008998828940093517,-6.225580251990721,0.01041429303586483,2.361537685037365,0.011920752003788948,0.12669559944899778,0.010234012268483639,nan,nan,12.255293846130371,295.48972809721556,-0.00970401441105653,13.309616088867188,11.227763175964355,2.081852912902832,7.892933964155221,-6.606609744728988,0.8291063820044122,8.763800120419218,223.52091675977692,-193.7528220168817,-0.4170130760677609,-0.20310608662182214,-5.372222021128227,2.7060920841833756e-05,49.25833635059616,-0.8173746475330006,1.0321854077053925,0.6375626570677606,B2Iae,xkcd:dark green,xkcd:green,1E 1145.1-6141,1.7,0.3,14.0,4.0
6053076566300433920,183.31156879290245,0.012357387691736221,-64.87513252303748,0.015193149447441101,-5.95305662663964,0.01588580757379532,0.449629791184431,0.02075292356312275,0.26448691327892004,0.01766935922205448,nan,nan,13.976888656616211,298.89007133029565,-2.303521643360621,14.39801025390625,13.351907730102539,1.046102523803711,3.7809054051208566,-5.958118420264099,-0.37666303137996027,7.449418244846888,222.10444742848472,-219.8306787168525,-0.8942614068632253,-0.40872604268783935,-5.393397656845806,-0.06092405130983405,6.1364723359412885,0.3295406434449326,0.09298706261771314,0.25258783113112304,B5V,xkcd:red,xkcd:red,1ES 1210-64.6,,,,
5255509901121774976,154.7315592681715,0.00934557057917118,-58.94609420856299,0.009438585489988327,-6.454306520313594,0.013439311645925045,2.256007949459996,0.01335159968584776,0.2273178405234294,0.010232986882328987,nan,nan,12.269230842590332,284.351776705235,-1.6900802660463154,12.882477760314941,11.495985984802246,1.3864917755126953,4.3991267807989365,-6.6488043210162475,-1.5940657536704546,8.547292409868648,223.3022676369862,-212.96405708690497,-0.6634443517918205,-0.34946803248438035,-5.444675837248132,0.0016679885391937266,28.32721701626133,-0.5406841319762945,-1.2462657097252678,0.19803200020711922,O6V((f)),xkcd:blue,xkcd:blue,1FGL J1018.6-5856,2.0,,22.9,
1979911002134040960,330.4091919702234,0.0112070357427001,50.16795238313883,0.011057302355766296,2.364625293266044,0.014718983322381973,-0.2937024864956449,0.013353955931961536,0.8781947661310571,0.013396814465522766,nan,nan,9.304606437683105,97.24776932144769,-4.041208697923339,9.407649040222168,9.073572158813477,0.3340768814086914,1.1386995670739004,1.7284177853776819,-1.6402090986570457,8.716439817701456,223.47353491258164,213.5213484311505,2.3028503458441034,-1.5629398824262077,-5.196815291195641,-0.07075834955835932,24.94903946557588,4.622382730729219,-0.0065108666724786185,0.017370801353402254,B3e,xkcd:green,xkcd:green,1H 2202+501,,,,
2021785421455305344,295.5465223645784,0.03207533434033394,25.934890350462474,0.04769733175635338,-1.953244017446547,0.0427125059068203,-3.987108346450195,0.05859220772981644,0.019283663596520964,0.060263168066740036,nan,nan,17.05453872680664,61.58010557440001,1.3548851543347347,18.785175323486328,15.808351516723633,2.9768238067626953,51.85736595096036,-4.428399138706507,-0.3185533335675472,48.37853309750426,238.97542281770822,35.02942981289191,0.012309721192800972,-0.02926528515580618,-1.3106064521009737,0.015342190572350652,773.0265682081879,-3.1301024077983346,-0.3046302389840917,162.0588921891883,,xkcd:black,xkcd:grey,1RXS J194211.9+255552,,,,
2033989790047905024,300.09104899633587,0.014430977404117584,32.18973933161206,0.017375720664858818,-2.850743997098801,0.02021029405295849,-4.300169718523636,0.023098601028323174,0.06746486507910339,0.021092984825372696,nan,nan,15.064558029174805,68.98602751827119,1.1341894069944143,16.446447372436523,13.904094696044922,2.5423526763916016,14.82253019890409,-5.158080851424149,0.11136819686971562,14.196091749210199,227.77929350001756,125.28525571703477,0.07408075150879062,-0.1034825141147826,-3.7200864746749893,0.023215381902318248,107.08637018851347,-1.5120751282579503,0.19163532908217995,4.634284885807226,early BV or mid BIII,xkcd:black,xkcd:grey,2MASS J20002185+3211232,,,,
5862285700835092352,195.49460523930014,0.05994626507163048,-63.96912167623403,0.06522805243730545,-6.287527903127519,0.07625846564769745,-0.5842041216372096,0.09208860248327255,0.07560265052473944,0.08420749753713608,nan,nan,17.30669403076172,304.08825128367016,-1.1210396150921411,19.536026000976562,15.889301300048828,3.6467247009277344,13.227049489128298,-6.308944793395759,-0.26742696616007106,11.00613375283375,225.52220028287795,-142.43815935922726,-0.2642372278063586,-0.11957040166846716,-4.664962569853177,0.012946241375655938,87.09029581650708,-1.3797449957362238,-0.16080280586725984,14.732509105813348,B0-6Ve,xkcd:purple,xkcd:green,2RXP J130159.6-635806,,,,
524924310153249920,19.511227046863358,0.007461200468242168,65.29162260285469,0.008893749676644802,-1.2433985583085483,0.009154735133051872,0.7606173957665759,0.011805354617536068,0.1964171573898191,0.011268352158367634,nan,nan,10.520528793334961,125.70997540875491,2.563488419804798,11.24775505065918,9.6738862991333,1.573868751525879,5.091204929798221,-1.3209841517227512,0.6161003720529863,12.189584532266123,226.4251888125325,126.33418646431146,0.6923285413115551,-0.3058317902661893,-2.19541764484616,0.10021264014131061,20.31110987831015,0.1821049518118536,0.821719522177865,0.29207983061034437,B1Iae,xkcd:bright green,xkcd:green,2S 0114+650,,,16.0,2.0
